"filename", "language", "JSON with Comments", "Markdown", "JavaScript", "JSON", "TypeScript", "XML", "TypeScript JSX", "PostCSS", "comment", "blank", "total"
"/media/dedyas/New Volume/Projects/pengumpulan-hp/AGENTS.md", "Markdown", 0, 2, 0, 0, 0, 0, 0, 0, 2, 2, 6
"/media/dedyas/New Volume/Projects/pengumpulan-hp/README.md", "Markdown", 0, 23, 0, 0, 0, 0, 0, 0, 0, 14, 37
"/media/dedyas/New Volume/Projects/pengumpulan-hp/app/api/classes/[id]/route.ts", "TypeScript", 0, 0, 0, 0, 12, 0, 0, 0, 0, 1, 13
"/media/dedyas/New Volume/Projects/pengumpulan-hp/app/api/classes/route.ts", "TypeScript", 0, 0, 0, 0, 66, 0, 0, 0, 0, 6, 72
"/media/dedyas/New Volume/Projects/pengumpulan-hp/app/api/json/class.json", "JSON", 0, 0, 0, 152, 0, 0, 0, 0, 0, 0, 152
"/media/dedyas/New Volume/Projects/pengumpulan-hp/app/api/json/report.json", "JSON", 0, 0, 0, 14, 0, 0, 0, 0, 0, 1, 15
"/media/dedyas/New Volume/Projects/pengumpulan-hp/app/api/json/teacher.json", "JSON", 0, 0, 0, 512, 0, 0, 0, 0, 0, 0, 512
"/media/dedyas/New Volume/Projects/pengumpulan-hp/app/api/reports/route.ts", "TypeScript", 0, 0, 0, 0, 43, 0, 0, 0, 0, 4, 47
"/media/dedyas/New Volume/Projects/pengumpulan-hp/app/api/route.ts", "TypeScript", 0, 0, 0, 0, 4, 0, 0, 0, 0, 1, 5
"/media/dedyas/New Volume/Projects/pengumpulan-hp/app/api/upload/route.ts", "TypeScript", 0, 0, 0, 0, 19, 0, 0, 0, 0, 2, 21
"/media/dedyas/New Volume/Projects/pengumpulan-hp/app/class/[id]/page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 231, 0, 1, 13, 245
"/media/dedyas/New Volume/Projects/pengumpulan-hp/app/class/[id]/password/page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 231, 0, 1, 13, 245
"/media/dedyas/New Volume/Projects/pengumpulan-hp/app/class/admin/password/page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 156, 0, 0, 12, 168
"/media/dedyas/New Volume/Projects/pengumpulan-hp/app/class/page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 156, 0, 0, 12, 168
"/media/dedyas/New Volume/Projects/pengumpulan-hp/app/components/Camera.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 90, 0, 5, 7, 102
